row_id,query_company,query_city,query_state,severity,issue_codes,narrative
7878957,Visit Salt Lake,San Francisco,CA,info,,No automated issues flagged; still spot-check for domain edge cases.
7879015,"Servant Keeper, LLC",Elizabethtown,KY,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7879342,NWACUHO - Northwest Association of College & University Housing Officers,Fairbanks,AK,info,,No automated issues flagged; still spot-check for domain edge cases.
7879999,meeting Source Prestige Global,Arlington Heights,IL,med,STRONG_SCORE_NON_EXACT_NAME;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (token_subset_mismatch) at 0.9667; rationale should justify suffix/token gaps. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
7880589,Women of Power Conference,,,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7880640,Corporation Of Hamilton,Hamilton,Bermuda,med,STRONG_SCORE_NON_EXACT_NAME;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (query_and_top1_names_related_non_equal) at 0.9660; rationale should justify suffix/token gaps. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
7880903,Corporation of Hamilton,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7880904,Corporation Of Hamilton,Pembroke,Bermuda,med,STRONG_SCORE_NON_EXACT_NAME;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (query_and_top1_names_related_non_equal) at 0.9716; rationale should justify suffix/token gaps. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
7880905,Corporation Of Hamilton,Pembroke,Bermuda,med,STRONG_SCORE_NON_EXACT_NAME;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (query_and_top1_names_related_non_equal) at 0.9716; rationale should justify suffix/token gaps. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
7880906,Corporation Of Hamilton,,Bermuda,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7881526,ALM Global (EMEA) Ltd,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7882317,Supreme Court,Hamilton,Bermuda,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7882747,Supreme Court,Hamilton,Bermuda,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7883989,Sacred Heart School,Saint Charles,MO,med,STRONG_SCORE_NON_EXACT_NAME;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (query_and_top1_names_related_non_equal) at 0.9663; rationale should justify suffix/token gaps. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
